c_id,number_of_doors,tyre_type,number_of_cylinders,drive_type,turbo_charger,super_charger,length(mm),width(mm),height(mm),color,city,Mileage(Kmpl)
3788,4,"Tubeless,Radial",4,FWD,No,No,3585,1595,1550,Others,delhi,20
3789,0,"Tubeless, Radial",3,Not specified,No,No,3995,1765,1550,White,delhi,20
3790,5,Radial,4,FWD,Yes,No,4655,1835,1760,Others,delhi,14
3791,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,White,delhi,18
3792,5,Tubeless,4,FWD,No,No,3765,1660,1520,Silver,delhi,19
3793,5,"Tubeless,Radial",4,FWD,Yes,No,4655,1965,1922,White,delhi,14
3794,5,"Tubeless, Radial",3,Not specified,No,No,3765,1677,1535,White,delhi,26
3795,5,Tubeless,4,FWD,No,No,3765,1660,1520,Silver,delhi,19
3796,4,Tubeless,4,FWD,No,No,4440,1729,1475,Others,delhi,17
3797,5,"Tubeless,Radial",4,FWD,No,No,3850,1695,1530,Silver,delhi,19
3798,5,"Tubeless,Radial",4,4WD,Twin,No,4985,1926,1867,Others,delhi,12
3799,4,"Tubeless, Radial",3,FWD,No,No,3595,1495,1700,Blue,delhi,19
3800,5,"Tubeless, Radial",4,FWD,No,No,4315,1800,1645,Gray,delhi,17
3801,5,"Tubeless, Radial",3,FWD,Yes,No,3995,1790,1642,White,delhi,18
3802,5,Tubeless ,3,FWD,Yes,No,3640,1595,1520,Others,delhi,25
3803,5,Tubeless,3,FWD,No,No,3765,1660,1520,Others,delhi,24
3804,3,"Radial, Tubeless",4,4X4,Yes,No,3985,1855,1844,Grey,delhi,
3805,5,Tubeless Tyres,4,FWD,No,No,3840,1735,1530,Grey,delhi,20
3806,5,"Tubeless, Radial",4,FWD,No,No,4315,1800,1645,Gray,delhi,17
3807,5,"Tubeless,Radial",6,4WD,Yes,No,4879,2220,1803,White,delhi,13
3808,3,"Tubeless,Radial",4,FWD,Yes,No,3714,1683,1407,White,delhi,14
3809,5,"Radial, Tubeless",4,Not specified,Yes,No,4456,1820,1995,Black,delhi,
3810,4,"Tubeless,Radial",4,FWD,No,No,3995,1695,1501,Grey,delhi,19
3811,5,Tubeless Tyres,3,Not specified,No,No,3445,1515,1475,Silver,delhi,22
3812,5,"Radial, Tubeless",4,Not specified,No,No,3845,1735,1530,White,delhi,22
3813,5,"Tubeless, Radial",3,Not specified,Yes,No,4221,1760,1612,Grey,delhi,18
3814,5,"Radial, Tubeless",4,Not specified,No,No,3845,1735,1530,Black,delhi,22
3815,5,Tubeless,4,Not specified,No,No,3840,1735,1530,White,delhi,22
3816,5,"Radial, Tubless",4,AWD,Yes,No,4395,1818,1640,Silver,delhi,17
3817,5,"Tubeless,Radial",3,Not specified,Yes,No,3995,1775,1505,Silver,delhi,20
3818,3,"Radial, Tubeless",4,4X4,Yes,No,3985,1855,1844,Grey,delhi,15
3819,5,"Tubeless,Radial",4,FWD,No,No,3700,1690,1595,Blue,delhi,21
3820,5,"Tubeless, Radial",4,FWD,Yes,No,4655,1835,1760,White,delhi,
3821,5,"Tubeless,Radial",4,FWD,No,No,3850,1695,1530,Others,delhi,19
3822,5,"Tubeless,Radial",4,FWD,No,No,3610,1645,1560,Others,delhi,20
3823,5,"Tubeless,Radial",4,RWD,Yes,No,4735,1830,1795,Falsa Colour,delhi,14
3824,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Cherry,delhi,18
3825,5,"Tubeless, Radial",4,Not specified,No,No,3805,1680,1520,Others,delhi,21
3826,5,"Tubeless, Radial",4,FWD,Yes,No,4265,1695,1685,Others,delhi,21
3827,5,Not specified,3,Not specified,No,No,3695,1655,1545,White,delhi,
3828,4,"Tubeless,Radial",4,FWD,No,No,4560,1730,1487,Black,delhi,15
3829,5,"Tubeless,Radial",4,FWD,No,No,3610,1680,1500,Red,delhi,16
3830,5,"Tubeless,Radial",3,FWD,No,No,3679,1579,1478,Gray,delhi,25
3831,5,"Tubeless,Radial",4,FWD,Yes,No,3995,1821,1627,Black,delhi,20
3832,5,"Tubeless, Radial",4,FWD,Yes,No,4695,1890,1755,Silver,delhi,
3833,4,"Tubeless,Radial",4,FWD,No,No,3995,1695,1501,White,delhi,20
3834,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Orange,delhi,21
3835,5,"Tubeless,Radial",4,FWD,Yes,No,3999,1734,1601,Silver,delhi,26
3836,5,"Tubeless,Radial",4,FWD,No,No,3610,1680,1500,White,delhi,19
3837,5,Tubeless,4,FWD,No,No,3985,1734,1505,White,delhi,19
3838,4,Run-Flat,4,RWD,Yes,No,4824,1828,1508,Black,delhi,22
3839,5,Tubeless,3,FWD,No,No,3995,1636,1507,White,delhi,19
3840,4,Run-Flat,4,RWD,Yes,No,4824,1828,1508,Black,delhi,22
3841,5,"Tubeless,Radial",4,FWD,No,No,3955,1694,1544,Gray,delhi,19
3842,5,Tubeless,4,FWD,No,No,4270,1780,1630,Red,delhi,15
3843,5,"Tubeless,Radial",3,Not specified,No,No,3990,1755,1523,Others,delhi,19
3844,4,"Tubeless,Radial",4,FWD,Yes,No,3998,1765,1647,Others,delhi,23
3845,5,Tubeless,3,FWD,No,No,3495,1550,1500,Others,delhi,21
3846,5,Tubeless,4,FWD,No,No,4270,1780,1665,Black,delhi,22
3847,4,Tubeless,4,FWD,Yes,No,3995,1695,1525,Black,delhi,26
3848,4,Tubeless,4,FWD,Yes,No,4598,1894,1706,Others,delhi,17
3849,4,"Tubeless,Radial",4,FWD,No,No,3585,1595,1550,Grey,delhi,20
3850,3,"Radial, Tubeless",4,4X4,Yes,No,3985,1855,1844,Others,delhi,
3851,4,"Tubeless,Radial",3,FWD,No,No,3998,1765,1647,Red,delhi,17
3852,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Red,delhi,20
3853,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1735,1515,Golden,delhi,28
3854,5,"Radial, Tubeless",4,Not specified,No,No,3845,1735,1530,Others,delhi,22
3855,5,"Tubeless,Radial",4,FWD,No,No,3610,1645,1560,Silver,delhi,30
3856,5,"Tubeless,Radial",3,FWD,No,No,3679,1579,1478,White,delhi,23
3857,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,White,delhi,17
3858,4,Tubeless,4,FWD,No,No,4375,1700,1475,Red,delhi,17
3859,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Silver,delhi,21
3860,4,"Tubeless,Radial",4,FWD,No,No,4420,1695,1480,Silver,delhi,17
3861,4,"Tubeless, Radial",4,FWD,No,No,4490,1730,1485,Silver,delhi,21
3862,5,"Tubeless,Radial",6,AWD,Yes,No,5120,2141,1850,Blue,delhi,11
3863,5,Radial Tubeless,3,FWD,No,No,3990,1739,1643,White,delhi,20
3864,5,Runflat,4,FWD,Yes,No,4439,1821,1612,Blue,delhi,21
3865,5,"Tubeless, Radial",3,FWD,No,No,3715,1635,1565,Red,delhi,23
3866,5,"Tubeless,Radial",4,FWD,Yes,No,4655,1965,1922,Brown,delhi,14
3867,5,"Tubeless,Radial",4,FWD,No,No,3610,1680,1500,White,delhi,19
3868,5,"Tubeless, Radial",4,AWD,Yes,No,4695,1890,1755,White,delhi,
3869,4,"Tubeless,Radial",4,FWD,Yes,No,4975,1865,1445,White,delhi,
3870,4,"Tubeless,Radial",4,RWD,Yes,No,5063,1860,1494,White,delhi,16
3871,5,"Radial, Tubeless",3,Not specified,No,No,3731,1579,1490,Blue,delhi,21
3872,4,"Tubeless,Radial",4,FWD,No,No,3990,1680,1505,Others,delhi,18
3873,4,"Tubeless,Radial",4,FWD,Yes,No,4726,1842,1427,Blue,delhi,18
3874,5,Tubeless,4,FWD,No,No,3985,1734,1505,White,delhi,19
3875,5,"Tubeless, Radial",4,Not specified,No,No,3805,1680,1520,Blue,delhi,21
3876,4,"Tubeless,Radial",6,AWD,Yes,No,5255,2105,1460,Black,delhi,14
3877,5,Tubeless,4,FWD,No,No,3765,1660,1520,Others,delhi,19
3878,4,"Tubeless,Radial",4,FWD,Yes,No,4630,1777,1432,Silver,delhi,18
3879,4,"Tubeless,Radial",4,FWD,No,No,3565,1595,1550,Silver,delhi,20
3880,5,"Tubeless,Radials",3,RWD,Yes,No,3995,1835,1826,Others,delhi,18
3881,4,"Tubeless,Radial",4,RWD,Yes,No,4907,2102,1464,Grey,delhi,18
3882,5,"Tubeless, Radial",4,FWD,Yes,No,4655,1835,1760,White,delhi,
3883,5,"Tubeless,Radial",0,FWD,No,No,3971,1682,1478,Red,delhi,
3884,4,"Tubeless,Radial",4,FWD,Yes,No,4630,1777,1432,White,delhi,18
3885,4,"Tubeless,Radial",4,FWD,No,No,4620,1776,1475,Silver,delhi,14
3886,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Grey,delhi,21
3887,2,"Tubeless,Radial",6,Not specified,No,No,4868,2015,1393,Silver,delhi,11
3888,5,"Tubeless,Radial ",4,FWD,Yes,No,4585,1765,1760,Silver,delhi,13
3889,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1695,1555,Grey,delhi,23
3890,5,Radial,4,FWD,Yes,No,4655,1835,1760,Red,delhi,14
3891,5,"Tubeless, Radial",3,Not specified,No,No,3530,1490,1520,Silver,delhi,24
3892,4,"Tubeless, Radial",4,Not specified,No,No,3995,1735,1515,White,delhi,22
3893,4,"Tubeless,Radial",3,FWD,No,No,3998,1765,1647,Others,delhi,17
3894,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Red,delhi,17
3895,5,"Tubeless,Radial",4,FWD,Yes,No,4705,1840,1850,White,delhi,13
3896,5,Tubeless,4,FWD,No,No,3985,1734,1505,White,delhi,19
3897,5,"Tubeless, Radial",4,2WD,No,No,4345,1795,1645,Others,delhi,27
3898,4,Tubeless,3,FWD ,Yes,No,3995,1660,1520,Others,delhi,24
3899,4,"Tubeless, Radial",3,FWD,No,No,3595,1495,1700,Others,delhi,19
3900,5,"Tubeless,Radial",4,4WD,Yes,No,4892,1860,1837,Others,delhi,11
3901,5,Tubeless,4,FWD,No,No,3985,1734,1505,Others,delhi,19
3902,5,Tubeless,4,FWD,No,No,3840,1735,1530,Silver,delhi,21
3903,5,"Tubeless, Radial",3,FWD,Yes,No,4225,1760,1612,White,delhi,17
3904,5,"Tubeless Tyres, Radial",4,FWD,No,No,3655,1620,1675,Grey,delhi,21
3905,4,"Tubeless, Runflat",4,RWD,Twin,No,4936,2126,1466,Blue,delhi,20
3906,5,"Tubeless,Radial",4,Not specified,No,No,3760,1690,1530,Gray,delhi,16
3907,5,"Tubeless, Radial",4,FWD,Yes,No,4265,1695,1685,Others,delhi,21
3908,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Silver,delhi,21
3909,5,"Tubeless, Radial",4,Not specified,No,No,3700,1690,1595,Blue,delhi,21
3910,5,"Tubeless,Radial",4,FWD,Yes,No,3998,1765,1647,Grey,delhi,22
3911,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1735,1515,Others,delhi,28
3912,5,Tubeless,4,FWD,Yes,No,4270,1780,1630,White,delhi,20
3913,4,"Tubeless,Radial",4,FWD,No,No,4620,1776,1475,Gray,delhi,15
3914,5,Tubeless Tyres,3,Not specified,No,No,3445,1515,1475,White,delhi,22
3915,5,"Tubeless,Radial",6,AWD,Yes,No,5089,2177,1737,White,delhi,12
3916,5,"Tubeless,Radial",4,FWD,No,No,3610,1645,1560,Silver,delhi,30
3917,4,"Tubeless,Runflat",4,RWD,Twin,No,4936,2126,1466,Blue,delhi,15
3918,4,"Tubeless,Radial",4,FWD,No,No,4420,1695,1480,White,delhi,17
3919,4,"Tubeless,Radial",4,Not specified,Yes,No,4549,1992,1446,Blue,delhi,
3920,5,"Radial, Tubeless",4,Not specified,Yes,No,4850,1960,1845,Black,delhi,12
3921,5,Tubeless,4,FWD,No,No,4270,1780,1630,Red,delhi,15
3922,5,"Tubeless, Radial",4,FWD,Yes,No,4265,1695,1685,Others,delhi,21
3923,4,"Tubeless, Radial",4,FWD,No,No,4490,1730,1485,Others,delhi,20
3924,5,"Tubeless,Radial",4,Not specified,No,No,3970,1682,1453,Others,delhi,15
3925,5,"Tubeless,Radial ",4,AWD,Yes,No,4585,1890,1785,Others,delhi,15
3926,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Others,delhi,17
3927,5,Tubeless,4,FWD,No,No,3765,1660,1520,Grey,delhi,19
3928,5,"Tubeless, Radial",3,FWD,No,No,3565,1520,1564,Others,delhi,
3929,5,"Tubeless,Radial",3,FWD,Yes,No,3999,1765,1708,Others,delhi,19
3930,4,"Tubeless,Radial",4,FWD,No,No,3995,1735,1515,Red,delhi,21
3931,4,Tubeless,3,FWD,Yes,No,3995,1660,1520,Silver,delhi,25
3932,5,"Tubeless,Radial",3,FWD,No,No,3731,1579,1474,Blue,delhi,22
3933,5,"Tubeless,Radial",4,FWD,No,No,3995,1710,1505,White,delhi,18
3934,5,"Tubeless,Radial",3,Two Wheel Drive,No,No,3495,1475,1460,Others,delhi,27
3935,5,Tubeless Tyres,4,FWD,No,No,3840,1735,1530,Red,delhi,20
3936,5,"Tubeless,Radial",4,FWD,No,No,4296,1695,1685,Grey,delhi,18
3937,4,"Tubeless,Radial",4,FWD,Yes,No,3998,1765,1647,Others,delhi,23
3938,4,"Tubeless,Radial",3,FWD,No,No,3595,1475,1700,Grey,delhi,19
3939,5,Tubeless Tyres,3,FWD,No,No,3599,1495,1700,White,delhi,21
3940,4,"Tubeless,Radial",3,FWD,No,No,3998,1765,1647,Silver,delhi,15
3941,4,"Tubeless,Radial",4,FWD,Yes,No,4670,1814,1476,Silver,delhi,15
3942,5,"Tubeless, Radial",4,Not specified,No,No,3990,1745,1500,Others,delhi,22
3943,4,"Tubeless,Radial",4,FWD,Yes,No,4670,1814,1476,White,delhi,17
3944,5,Tubeless,4,FWD,No,No,3985,1734,1505,White,delhi,19
3945,5,"Tubeless,Radial",4,FWD,No,No,3610,1680,1500,Others,delhi,19
3946,4,Radial,3,FWD,No,No,3335,1440,1405,Others,delhi,16
3947,5,"Radial, Tubless",4,4X2,Yes,No,4395,1818,1640,White,delhi,16
3948,5,"Tubeless,Radial",3,FWD,No,No,3971,1682,1469,Grey,delhi,16
3949,5,"Tubeless,Radial",4,4WD,Yes,No,4355,2120,1635,White,delhi,13
3950,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1695,1555,Silver,delhi,27
3951,5,Tubeless Tyres,3,FWD,No,No,3445,1490,1475,Silver,delhi,25
3952,4,"Tubeless, Radial",4,RWD,Yes,No,4686,2020,1442,White,delhi,15
3953,5,"Radial, Tubeless",4,Not specified,No,No,3845,1735,1530,Others,delhi,22
3954,5,Tubeless,4,RWD,No,No,4903,1869,1837,White,delhi,14
3955,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Blue,delhi,21
3956,4,"Tubeless, Radial",4,Not specified,No,No,4490,1735,1570,Silver,delhi,15
3957,5,"Tubeless,Radial",4,FWD,Yes,No,3999,1765,1708,Silver,delhi,23
3958,5,"Tubeless,Radial",6,4WD,Yes,No,4879,2220,1803,Gray,delhi,13
3959,5,"Tubeless, Radial",4,AWD,No,No,3985,1645,1720,White,delhi,16
3960,4,"Tubeless, Radial",4,Not specified,No,No,4490,1735,1570,Silver,delhi,15
3961,5,"Tubeless,Radial",4,Front Wheel Drive,No,No,3795,1680,1427,Silver,delhi,16
3962,4,"Tubeless, Radial",4,Not specified,No,No,3995,1735,1515,Others,delhi,31
3963,5,"Tubeless, Radial",4,Not specified,No,No,3995,1790,1685,White,delhi,17
3964,5,"Tubeless,Radial",4,FWD,No,No,3940,1710,1505,White,delhi,17
3965,4,"Tubeless,Radial",4,RWD,No,No,4596,1770,1447,Others,delhi,12
3966,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1695,1555,Others,delhi,23
3967,4,"Tubeless,Radial",4,FWD,No,No,3585,1595,1550,Red,delhi,20
3968,5,"Tubeless,Radial",4,FWD,Yes,No,3999,1734,1601,Grey,delhi,26
3969,4,"Tubeless,Radial",4,FWD,Yes,No,3998,1765,1647,Others,delhi,23
3970,5,"Tubeless,Radial",4,RWD,No,No,4735,1830,1795,Silver,delhi,8
3971,5,"Tubeless, Radial",3,Not specified,No,No,3991,1739,1643,Blue,delhi,20
3972,4,"Tubeless,Radial",4,2 WD,No,No,4160,1690,1530,White,delhi,18
3973,5,Tubeless Tyres,3,FWD,No,No,3599,1495,1700,Grey,delhi,21
3974,5,"Tubeless, Radial",3,FWD,No,No,3565,1520,1567,White,delhi,22
3975,5,Tubeless,4,FWD,No,No,3765,1660,1520,Silver,delhi,19
3976,5,"Tubeless,Radial",4,FWD,No,No,4445,1775,1700,White,delhi,19
3977,5,Radial,3,FWD,Yes,No,3995,1770,1605,Blue,delhi,18
3978,4,"Tubeless, Radial",3,FWD,No,No,3595,1475,1700,Others,delhi,19
3979,4,"Tubeless,Radial",4,RWD,Yes,No,4879,2071,1474,Brown,delhi,12
3980,5,"Tubeless,Radial",4,RWD,Yes,No,4107,1745,1880,White,delhi,16
3981,5,"Tubeless,Radial",4,RWD,Yes,No,4456,1820,1995,White,delhi,15
3982,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Others,delhi,18
3983,5,"Tubeless, Radial",4,FWD,No,No,3995,1790,1642,Others,delhi,18
3984,4,"Tubeless,Radial",4,FWD,No,No,4375,1700,1475,Others,delhi,17
3985,5,Tubeless,4,FWD,Yes,No,4270,1780,1665,Silver,delhi,20
3986,5,"Tubeless, Radial",4,4x4,Twin,No,4985,1926,1867,Grey,delhi,12
3987,5,"Tubeless, Radial",3,FWD,Yes,No,3995,1790,1642,Black,chennai,
3988,5,Tubeless Tyres,4,RWD,No,No,3675,1475,1800,Grey,chennai,15
3989,5,"Tubeless,Radial",3,Not specified,Yes,No,3994,1758,1572,Others,chennai,20
3990,5,Tubeless,4,FWD,No,No,3585,1595,1550,Silver,chennai,20
3991,5,"Tubeless,Radial",4,FWD,No,No,3955,1694,1544,Others,chennai,19
3992,4,"Tubeless,Radial",4,RWD,Yes,No,4879,2071,1474,White,chennai,13
3993,5,"Tubeless, Radial",3,FWD,No,No,3715,1635,1565,Blue,chennai,23
3994,5,"Tubeless,Radial",3,FWD,No,No,3500,1600,1490,Grey,chennai,19
3995,5,"Tubeless,Radial",4,AWD,Yes,No,4708,1891,1676,Grey,chennai,17
3996,4,"Tubeless,Radial",3,FWD,No,No,3998,1765,1647,Black,chennai,15
3997,5,"Tubeless, Radial",4,Not specified,No,No,3995,1775,1505,Blue,chennai,21
3998,5,"Tubeless,Radial",4,FWD,No,No,3955,1694,1544,Silver,chennai,18
3999,4,"Tubeless,Radial",4,RWD,Yes,No,4709,1827,1435,White,chennai,20
4000,5,Tubeless,4,Not specified,No,No,3840,1735,1530,Others,chennai,22
4001,5,Tubeless,4,FWD,No,No,3765,1660,1520,White,chennai,19
4002,5,Tubeless Radial Tyres,4,FWD,Yes,No,3994,1811,1607,Orange,chennai,22
4003,5,"Tubeless, Radial",4,4x2,Yes,No,4405,1818,1640,White,chennai,17
4004,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Brown,chennai,17
4005,5,"Tubeless,Radial",4,2WD,Yes,No,4795,1855,1835,White,chennai,
4006,4,"Tubeless,Radial",4,FWD,No,No,3990,1680,1505,White,chennai,18
4007,5,Tubeless,3,FWD,No,No,3515,1550,1510,Others,chennai,20
4008,4,"Tubeless,Radial",4,FWD,No,No,3990,1680,1505,Silver,chennai,18
4009,5,Tubeless Tyres,4,FWD,Yes,No,3840,1735,1530,Red,chennai,25
4010,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,White,chennai,18
4011,5,"Tubeless, Radial",0,Not specified,No,No,3993,1811,1606,Others,chennai,
4012,5,Tubeless,4,FWD,Yes,No,4270,1780,1630,White,chennai,17
4013,5,Radial,3,FWD,Yes,No,3995,1770,1605,Red,chennai,18
4014,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Others,chennai,18
4015,4,"Tubeless,Radial",4,FWD,Yes,No,4915,2086,1455,Blue,chennai,14
4016,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Black,chennai,17
4017,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Others,chennai,21
4018,5,Tubeless,4,FWD,No,No,3765,1660,1520,Red,chennai,19
4019,5,"Tubeless, Radial",3,FWD,No,No,3600,1600,1560,White,chennai,23
4020,5,"Tubeless,Radial",4,RWD,No,No,4735,1830,1795,White,chennai,8
4021,5,"Tubeless, Radial",3,FWD,No,No,3715,1635,1565,Red,chennai,23
4022,4,"Tubeless,Radial",4,FWD,No,No,3990,1680,1505,White,chennai,18
4023,5,"Tubeless,Radial",4,FWD,No,No,3999,1734,1601,Others,chennai,18
4024,5,"Tubeless, Radial",4,FWD,Yes,No,3955,1694,1544,Others,chennai,27
4025,5,"Tubeless,Radial",4,FWD,Yes,No,4359,2010,1557,Grey,chennai,15
4026,4,"Tubeless,Radial",4,Not specified,No,No,4095,1575,1395,Silver,chennai,16
4027,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Grey,chennai,21
4028,5,"Tubeless,Radial",3,FWD,No,No,3675,1715,1635,Orange,chennai,18
4029,5,"Tubeless,Radial",4,FWD,Yes,No,4315,1822,1695,Others,chennai,20
4030,5,"Tubeless, Radial",3,Not specified,Yes,No,3805,1680,1520,Black,chennai,21
4031,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Brown,chennai,18
4032,4,"Tubeless,Radial",4,FWD,No,No,4620,1776,1475,Others,chennai,15
4033,5,"Tubeless, Radial",3,Not specified,Yes,No,3995,1821,1627,Red,chennai,17
4034,4,"Tubeless,Radial",4,FWD,Yes,No,4620,1775,1475,White,chennai,21
4035,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1735,1515,Silver,chennai,28
4036,4,Tubeless,4,FWD,No,No,4440,1729,1475,Silver,chennai,17
4037,4,"Tubeless,Radial",4,FWD,Yes,No,4933,1874,1455,White,chennai,19
4038,4,"Tubeless,Radial",4,FWD,No,No,4249,1690,1503,White,chennai,18
4039,5,"Tubeless,Radial",6,AWD,Yes,No,4629,2089,1655,White,chennai,13
4040,5,"Tubeless,Radial",4,FWD,Yes,No,3999,1734,1601,Red,chennai,26
4041,4,"Tubeless, Radial",4,FWD,Yes,No,4490,1730,1485,Others,chennai,28
4042,4,"Tubeless, Radial",4,FWD,Yes,No,4490,1730,1485,Others,chennai,28
4043,5,"Tubeless,Radial",4,AWD,Yes,No,5052,2212,1740,White,chennai,15
4044,5,"Tubeless,Radial",7,RWD,Yes,No,4735,1830,1795,Black,chennai,14
4045,4,"Tubeless, Radial",4,RWD,Yes,No,4686,2020,1442,Blue,chennai,19
4046,4,"Tubeless,Radial",6,RWD,Yes,No,5219,2142,1481,White,chennai,16
4047,5,Tubeless Radial Tyres,3,FWD,Yes,No,3994,1811,1607,Silver,chennai,17
4048,5,"Tubeless,Radial",3,FWD,No,No,3971,1682,1469,Red,chennai,18
4049,5,"Tubeless,Radial",6,4WD,Yes,No,4657,2089,1678,Red,chennai,17
4050,5,"Tubeless, Radial",4,Not specified,Yes,No,4661,1894,1786,Silver,chennai,14
4051,5,Tubeless,3,FWD,No,No,3788,1636,1507,White,chennai,19
4052,4,"Tubeless,Radial",4,RWD,Yes,No,4879,1854,1474,Silver,chennai,13
4053,5,"Tubeless,Radial",4,FWD,No,No,3610,1645,1560,White,chennai,20
4054,5,"Tubeless, Radial",3,Not specified,Yes,No,4221,1760,1612,Red,chennai,18
4055,4,"Tubeless,Radial",4,FWD,Yes,No,3995,1695,1501,Red,chennai,24
4056,5,"Tubeless, Radial",3,Not specified,Yes,No,3995,1821,1627,Green,chennai,17
4057,5,"Tubeless, Radial",4,FWD,No,No,4315,1800,1645,Gray,chennai,17
4058,5,"Tubeless,Radial",4,FWD,No,No,3987,1687,1495,Red,chennai,15
4059,5,Radial,4,FWD,No,No,3995,1770,1605,Blue,chennai,18
4060,5,"Tubeless, Radial",4,AWD,Yes,No,4695,1890,1755,Silver,chennai,
4061,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Blue,chennai,21
4062,4,"Tubeless,Radial",4,FWD,No,No,3585,1595,1550,Red,chennai,20
4063,5,Tubeless Radial Tyres,3,FWD,Yes,No,3994,1811,1607,Others,chennai,17
4064,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Blue,chennai,21
4065,4,"Tubeless,Radial",4,FWD,No,No,3995,1695,1498,TAFETA WHITE,chennai,19
4066,4,"Tubeless,Radial",4,Front Wheel Drive,Yes,No,4560,1730,1487,Silver,chennai,16
4067,5,"Tubeless, Radial",4,Not specified,No,No,3989,1694,1544,Red,chennai,17
4068,5,"Tubeless,Radial",4,FWD,No,No,3955,1694,1544,Red,chennai,19
4069,4,"Tubeless,Radial",4,FWD,No,No,3990,1680,1505,Others,chennai,16
4070,5,"Tubeless,Radial",3,FWD,No,No,3971,1682,1469,Black,chennai,16
4071,4,"Tubeless,Radial",4,FWD,Yes,No,3998,1765,1647,Red,chennai,23
4072,4,"Tubeless, Radial",4,FWD,No,No,4490,1730,1485,Others,chennai,19
4073,5,"Tubeless, Radial",4,4x2,No,No,4405,1818,1640,Grey,chennai,14
4074,5,"Tubeless,Radial",4,FWD,No,No,3985,1734,1505,Silver,chennai,19
4075,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Silver,chennai,21
4076,4,Tubeless,4,FWD,No,No,3995,1660,1520,Silver,chennai,20
4077,5,"Tubeless,Radial",4,FWD,No,No,3955,1694,1544,Others,chennai,19
4078,5,"Tubeless, Radial",4,FWD,Yes,No,4296,1695,1685,Silver,chennai,25
4079,5,"Tubeless, Radial",4,Not specified,Yes,No,4598,1894,1706,Orange,chennai,16
4080,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Grey,chennai,21
4081,4,"Tubeless,Radial",4,FWD,No,No,4390,1699,1467,Black,chennai,16
4082,4,"Tubeless,Radial",3,FWD,No,No,3995,1682,1483,White,chennai,17
4083,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Silver,chennai,17
4084,5,Tubeless Tyres,4,4WD,No,Yes,4600,2173,1724,Red,chennai,13
4085,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1485,Golden,chennai,16
4086,5,"Tubeless,Radial",4,FWD,No,No,4445,1775,1700,Others,chennai,18
4087,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Brown,chennai,18
4088,5,"Tubeless,Radial",4,FWD,No,No,3610,1645,1560,Silver,chennai,20
4089,4,Tubeless,4,FWD,No,No,4440,1729,1475,White,chennai,17
4090,5,"Tubeless,Radial",4,FWD,No,No,3610,1680,1500,Red,chennai,19
4091,5,Radial,4,FWD,Yes,No,4655,1835,1760,Maroon,chennai,16
4092,5,"Tubeless,Radial",4,4WD,Yes,No,4892,1860,1837,Others,chennai,14
4093,5,Tubeless,4,FWD,No,No,3765,1660,1520,Red,chennai,19
4094,5,Tubeless,4,FWD,No,No,3985,1734,1505,Others,chennai,19
4095,5,Tubeless,3,FWD,No,No,3954,1737,1570,Red,chennai,19
4096,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Silver,chennai,21
4097,4,"Tubeless,Radial",4,Not specified,No,No,4800,1832,1485,White,chennai,14
4098,5,"Tubeless,Radial",3,FWD,No,No,3971,1682,1469,Others,chennai,16
4099,5,Tubeless Tyres,4,FWD,Yes,No,3840,1735,1530,Grey,chennai,25
4100,5,"Tubeless,Radials",3,RWD,Yes,No,3995,1835,1826,Red,chennai,18
4101,5,Tubeless,4,FWD,No,No,3840,1735,1530,White,chennai,21
