c_id,number_of_doors,tyre_type,number_of_cylinders,drive_type,turbo_charger,super_charger,length(mm),width(mm),height(mm),color,city,Mileage(Kmpl)
135,4,"Tubeless,Radial",4,AWD,Yes,No,4797,2145,1665,Black,kolkata,16
136,4,"Tubeless,Radial",4,FWD,No,No,3585,1595,1550,Off White,kolkata,20
137,5,"Tubeless,Radial",4,4WD,Twin,No,4985,1926,1867,Black,kolkata,12
138,5,Tubeless,4,Not specified,No,No,3840,1735,1530,Red,kolkata,22
139,5,"Tubeless,Radial",4,FWD,No,No,3955,1694,1544,White,kolkata,18
140,4,"Tubeless,Radial",4,2 WD,No,No,4160,1690,1530,Golden,kolkata,18
141,5,Tubeless Tyres,4,FWD,Yes,No,4585,1890,1785,White,kolkata,15
142,5,"Tubeless, Radial",4,FWD,Yes,No,4655,1835,1760,Black,kolkata,
143,5,Tubeless,3,FWD,No,No,3495,1550,1500,Others,kolkata,21
144,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Silver,kolkata,18
145,5,"Tubeless, Radial",3,Not specified,No,No,3765,1677,1535,Black,kolkata,26
146,5,"Tubeless,Radial",4,FWD,No,No,3995,1710,1505,Bronze,kolkata,18
147,4,"Tubeless,Radial",4,FWD,No,No,4413,1699,1466,Others,kolkata,15
148,4,"Tubeless,Radial",4,2 WD,No,No,4160,1690,1530,Blue,kolkata,18
149,5,"Tubeless Tyres, Radial",3,FWD,No,No,3655,1620,1675,Silver,kolkata,22
150,5,tubeless tyre,3,FWD,No,No,3435,1574,1546,Others,kolkata,22
151,5,"Tubeless,Radial",4,FWD,No,No,3495,1495,1518,Others,kolkata,18
152,5,"Tubeless,Radials",4,FWD,No,No,4453,1735,1666,Grey,kolkata,15
153,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1485,Red,kolkata,17
154,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Brown,kolkata,18
155,5,Tubeless,4,Not specified,No,No,3840,1735,1530,Silver,kolkata,22
